desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.4,0.1059,,8mm_base,storebought_table_salt,EWMA
0.4,0.1213,,8mm_base,storebought_table_salt,EWMA
0.4,0.154,,8mm_base,storebought_table_salt,EWMA
0.4,0.1641,,8mm_base,storebought_table_salt,EWMA
0.4,0.1709,,8mm_base,storebought_table_salt,EWMA
0.4,0.165,,8mm_base,storebought_table_salt,EWMA
0.4,0.1748,,8mm_base,storebought_table_salt,EWMA
0.4,0.1827,,8mm_base,storebought_table_salt,EWMA
0.4,0.1797,,8mm_base,storebought_table_salt,EWMA
0.4,0.1868,,8mm_base,storebought_table_salt,EWMA
0.4,0.1825,,8mm_base,storebought_table_salt,EWMA
0.4,0.1899,,8mm_base,storebought_table_salt,EWMA
0.4,0.1942,,8mm_base,storebought_table_salt,EWMA
0.4,0.1965,,8mm_base,storebought_table_salt,EWMA
0.4,0.2029,,8mm_base,storebought_table_salt,EWMA
0.4,0.2025,,8mm_base,storebought_table_salt,EWMA
0.4,0.2096,,8mm_base,storebought_table_salt,EWMA
0.4,0.1999,,8mm_base,storebought_table_salt,EWMA
0.4,0.1998,,8mm_base,storebought_table_salt,EWMA
0.4,0.2154,,8mm_base,storebought_table_salt,EWMA
0.4,0.2172,,8mm_base,storebought_table_salt,EWMA
0.4,0.2112,,8mm_base,storebought_table_salt,EWMA
0.4,0.2196,,8mm_base,storebought_table_salt,EWMA
0.4,0.2194,,8mm_base,storebought_table_salt,EWMA
0.4,0.2267,,8mm_base,storebought_table_salt,EWMA
0.4,0.2216,,8mm_base,storebought_table_salt,EWMA
0.4,0.2227,,8mm_base,storebought_table_salt,EWMA
0.4,0.227,,8mm_base,storebought_table_salt,EWMA
0.4,0.2363,,8mm_base,storebought_table_salt,EWMA
0.4,0.2322,,8mm_base,storebought_table_salt,EWMA
0.4,0.2311,,8mm_base,storebought_table_salt,EWMA
0.4,0.2424,,8mm_base,storebought_table_salt,EWMA
0.4,0.2419,,8mm_base,storebought_table_salt,EWMA
0.4,0.2535,,8mm_base,storebought_table_salt,EWMA
0.4,0.2529,,8mm_base,storebought_table_salt,EWMA
0.4,0.2572,,8mm_base,storebought_table_salt,EWMA
0.4,0.2512,,8mm_base,storebought_table_salt,EWMA
0.4,0.2687,,8mm_base,storebought_table_salt,EWMA
0.4,0.2602,,8mm_base,storebought_table_salt,EWMA
0.4,0.2715,,8mm_base,storebought_table_salt,EWMA
0.4,0.2704,,8mm_base,storebought_table_salt,EWMA
0.4,0.2736,,8mm_base,storebought_table_salt,EWMA
0.4,0.2679,,8mm_base,storebought_table_salt,EWMA
0.4,0.2743,,8mm_base,storebought_table_salt,EWMA
0.4,0.28,,8mm_base,storebought_table_salt,EWMA
0.4,0.2813,,8mm_base,storebought_table_salt,EWMA
0.4,0.2878,,8mm_base,storebought_table_salt,EWMA
0.4,0.2932,,8mm_base,storebought_table_salt,EWMA
0.4,0.2898,,8mm_base,storebought_table_salt,EWMA
0.4,0.2917,,8mm_base,storebought_table_salt,EWMA
0.4,0.295,,8mm_base,storebought_table_salt,EWMA
0.4,0.3081,,8mm_base,storebought_table_salt,EWMA
0.4,0.3182,,8mm_base,storebought_table_salt,EWMA
0.4,0.3189,,8mm_base,storebought_table_salt,EWMA
0.4,0.3145,,8mm_base,storebought_table_salt,EWMA
0.4,0.3107,,8mm_base,storebought_table_salt,EWMA
0.4,0.3156,,8mm_base,storebought_table_salt,EWMA
0.4,0.3189,,8mm_base,storebought_table_salt,EWMA
0.4,0.3242,,8mm_base,storebought_table_salt,EWMA
0.4,0.319,,8mm_base,storebought_table_salt,EWMA
0.4,0.3169,,8mm_base,storebought_table_salt,EWMA
0.4,0.3236,,8mm_base,storebought_table_salt,EWMA
0.4,0.3315,,8mm_base,storebought_table_salt,EWMA
0.4,0.3351,,8mm_base,storebought_table_salt,EWMA
0.4,0.3395,,8mm_base,storebought_table_salt,EWMA
0.4,0.3442,,8mm_base,storebought_table_salt,EWMA
0.4,0.3493,,8mm_base,storebought_table_salt,EWMA
0.4,0.35,,8mm_base,storebought_table_salt,EWMA
0.4,0.3549,,8mm_base,storebought_table_salt,EWMA
0.4,0.3539,,8mm_base,storebought_table_salt,EWMA
0.4,0.3498,,8mm_base,storebought_table_salt,EWMA
0.4,0.3667,,8mm_base,storebought_table_salt,EWMA
0.4,0.3629,,8mm_base,storebought_table_salt,EWMA
0.4,0.363,,8mm_base,storebought_table_salt,EWMA
0.4,0.3649,,8mm_base,storebought_table_salt,EWMA
0.4,0.3713,,8mm_base,storebought_table_salt,EWMA
0.4,0.3701,,8mm_base,storebought_table_salt,EWMA
0.4,0.3744,,8mm_base,storebought_table_salt,EWMA
0.4,0.3813,,8mm_base,storebought_table_salt,EWMA
0.4,0.3857,,8mm_base,storebought_table_salt,EWMA
0.4,0.395,,8mm_base,storebought_table_salt,EWMA
0.4,0.39,,8mm_base,storebought_table_salt,EWMA
0.4,0.3888,,8mm_base,storebought_table_salt,EWMA
0.4,0.3924,,8mm_base,storebought_table_salt,EWMA
0.4,0.3987,,8mm_base,storebought_table_salt,EWMA
0.4,0.4043,,8mm_base,storebought_table_salt,EWMA
